Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2023 - 2024,2024 Fall,GRAD,GRAD,Matthew,Ables,,PLAN,5333,001,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,UGRD,UGRD,Ashraf,Aboulnaga,,CSE,3330,001,32,19,0,0,0,0,0,0,0,0,0,51
2023 - 2024,2024 Fall,UGRD,UGRD,Aiswarya,Acharath Mohanakrishnan,,CE,1252,004,9,7,0,0,0,0,0,0,0,0,0,16
2023 - 2024,2024 Fall,UGRD,UGRD,Aiswarya,Acharath Mohanakrishnan,,CE,4393,001,6,0,0,0,0,0,0,0,0,0,0,6
2023 - 2024,2024 Fall,UGRD,UGRD,John,Adams,,FINA,3315,001,8,26,20,0,0,0,0,0,0,0,0,54
2023 - 2024,2024 Fall,GRAD,GRAD,John,Adams,,FINA,5323,001,10,7,0,0,0,0,0,0,0,0,0,17
2023 - 2024,2024 Fall,UGRD,UGRD,Renee,Adams,,NURS,4350,621,0,0,0,0,0,0,8,0,0,0,0,8
2023 - 2024,2024 Fall,UGRD,UGRD,Sandra,Adams,,LIST,4373,001,46,0,0,0,0,0,0,0,0,0,0,46
2023 - 2024,2024 Fall,GRAD,GRAD,Sandra,Adams,,LIST,5361,006,14,0,0,0,0,0,0,0,0,0,0,14
2023 - 2024,2024 Fall,UGRD,UGRD,Shauntel,Adams,,SOCW,4451,101,39,7,0,0,0,0,0,0,0,0,0,46
2023 - 2024,2024 Fall,UGRD,UGRD,Shauntel,Adams,,SOCW,4551,001,40,7,0,0,0,0,0,0,0,0,0,47
2023 - 2024,2024 Fall,GRAD,GRAD,Shauntel,Adams,,SOCW,5316,014,22,0,0,0,0,0,0,0,0,0,0,22
2023 - 2024,2024 Fall,GRAD,GRAD,Shicobie,Adams,,NURS,5120,401,0,0,0,0,0,0,10,0,0,0,0,10
2023 - 2024,2024 Fall,GRAD,GRAD,Shicobie,Adams,,NURS,5120,447,0,0,0,0,0,0,6,0,0,0,0,6
2023 - 2024,2024 Fall,UGRD,UGRD,Rebekah,Adderley,,COMS,1301,018,15,0,0,0,0,0,0,0,0,0,0,15
2023 - 2024,2024 Fall,GRAD,GRAD,Oluwatosin,Adebiyi,,NURS,5325,002,8,0,0,0,0,0,0,0,0,0,0,8
2023 - 2024,2024 Fall,GRAD,GRAD,Oluwatosin,Adebiyi,,NURS,5325,003,7,0,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Fall,GRAD,GRAD,Oluwatosin,Adebiyi,,NURS,5350,010,10,11,0,0,0,0,0,0,0,0,0,21
2023 - 2024,2024 Fall,UGRD,UGRD,Maxine,Adegbola,,NURS,3321,001,37,31,6,0,0,0,0,0,0,0,0,74
2023 - 2024,2024 Fall,GRAD,GRAD,Maxine,Adegbola,,NURS,5327,403,104,41,6,0,0,0,0,0,0,0,0,151
2023 - 2024,2024 Fall,UGRD,UGRD,Lindsay,Adkins,,NURS,4350,647,0,0,0,0,0,0,7,0,0,0,0,7
2023 - 2024,2024 Fall,GRAD,GRAD,Ashfaq,Adnan,,ME,6304,001,9,0,0,0,0,0,0,0,0,0,0,9
2023 - 2024,2024 Fall,GRAD,GRAD,Ashfaq,Adnan,,ME,6397,039,0,0,0,0,0,0,0,0,0,0,9,9
2023 - 2024,2024 Fall,GRAD,GRAD,Katherine,Afflerbach,,SOCW,5303,010,17,0,0,0,0,0,0,0,0,0,0,17
2023 - 2024,2024 Fall,GRAD,GRAD,Katherine,Afflerbach,,SOCW,5303,012,7,0,0,0,0,0,0,0,0,0,0,7
2023 - 2024,2024 Fall,GRAD,GRAD,Katherine,Afshar,,NURS,5120,402,0,0,0,0,0,0,9,0,0,0,0,9
2023 - 2024,2024 Fall,GRAD,GRAD,Katherine,Afshar,,NURS,5120,453,0,0,0,0,0,0,6,0,0,0,0,6
